A̱o	Esperanza de vida mujeres	Esperanza de vida hombres	Esperanza de vida
2023	86.34	81.11	83.77
2022	85.74	80.36	83.08
2021	85.81	80.20	83.03
2020	85.04	79.52	82.28
2019	86.19	80.78	83.53
2018	85.83	80.40	83.15
2017	85.71	80.32	83.05
2016	85.82	80.26	83.08
2015	85.39	79.89	82.67
2014	85.63	80.10	82.91
2013	85.53	79.92	82.77
2012	85.10	79.36	82.26
2011	85.13	79.30	82.25
2010	85.03	79.05	82.07
2009	84.65	78.62	81.66
2008	84.33	78.22	81.30
2007	84.14	77.78	80.97
2006	84.15	77.71	80.94
2005	83.54	77.02	80.28
2004	83.57	76.98	80.29
2003	82.99	76.41	79.70
2002	83.14	76.38	79.76
2001	83.05	76.27	79.67
2000	82.73	75.93	79.34
1999	82.32	75.43	78.87
1998	82.31	75.42	78.87
1997	82.23	75.29	78.76
1996	81.88	74.66	78.26
1995	81.72	74.53	78.12
1994	81.60	74.47	78.03
1993	81.23	74.09	77.66
1992	81.14	73.89	77.51
1991	80.65	73.49	77.07
1990	80.41	73.40	76.91
1989	80.36	73.42	76.90
1988	80.15	73.52	76.86
1987	80.07	73.55	76.84
1986	79.75	73.40	76.61
1985	79.54	73.08	76.34
1984	79.51	73.18	76.39
1983	79.00	72.94	76.02
1982	79.19	73.15	76.22
1981	78.63	72.51	75.61
1980	78.41	72.36	75.44
1979	77.91	71.81	74.91
1978	77.37	71.41	74.44
1977	77.12	71.27	74.24
1976	76.61	70.81	73.76
1975	76.25	70.53	73.44
1974	75.92	70.16	72.97
1973	75.52	69.84	72.61
1972	75.63	70.14	72.82
1971	74.56	68.84	71.63